,Data do Anúncio,Ano,Trimestre,Data do Anúncio.1,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhões),Dólar (em milhões),Valor Informado,Município,Região,Descrição do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Período,Setor,Real,Dólar,FaixaValor,FaixaValorNome,SetorNome,RegiãoNro,klusterK3D,klusterBD3D
0,2020-07-17,2020,3,2020-07-17,Cooperativa de Consumo - Coop,Cooperativa de Consumo - Coop,2.0,0.38,Sim,Inter-regionais,Inter-regionais,"Instalação drogaria com venda de medicamentos e perfumaria, 21 unidades no Estado de São Paulo",4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário,"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",Implantação,... - 2020,1,2000000.0,380000.0,3,M,Comércio,3,2,0
1,2020-07-20,2020,3,2020-07-20,Tereos,Tereos Açúcar e Energia Brasil,1.3,0.25,Sim,Inter-regionais,Inter-regionais,"Instalação projeto G.O.T.A Gerenciamento, Otimização e Tratamento de Água que possibilita a diminuição da captação do recurso dos rios e poços e retorno da água à natureza livre de qualquer impureza",1071-6 - Fabricação de açúcar em bruto,1071-6 - Fabricação de açúcar em bruto,Implantação,2019 - 2024,3,1300000.0,250000.0,3,M,Indústria,3,2,1
2,2020-06-08,2020,3,2020-06-08,EDP São Paulo,EDP São Paulo Distribuição de Energia,6.4,1.17,Sim,Inter-regionais,Inter-regionais,"Implantação projeto  o Programa de Eficiência Energética, no Senai de Guarulhos, Etec de Cruzeiro e Hospital Santa Casa de Pindamonhangaba, serão beneficiadas com a substituição de lâmpadas em suas instalações internas",3514-0 - Distribuição de energia elétrica,3514-0 - Distribuição de energia elétrica,Ampliação,2020 - ...,5,6400000.0,1170000.0,3,M,Infraestrutura,3,0,2
3,2020-09-18,2020,3,2020-09-18,Acqualinda,Thermas Acqualinda,500.0,92.61,Sim,Andradina,RA Araçatuba,"Construção parque  aquático o parque estará inserido em uma terra primitiva, tribos ancestrais convivem com alienígenas com tecnologia futurística (complemento ficha 4895 )",9321-2 - Parques de diversão e parques temáticos,9321-2 - Parques de diversão e parques temáticos,Implantação,2019 - 2021,7,500000000.0,92610000.0,7,GG,Serviços,19,1,3
4,2020-10-08,2020,3,2020-10-08,Santa Casa de Araçatuba,Santa Casa de Misericórdia de Araçatuba,8.0,1.46,Sim,Araçatuba,RA Araçatuba,Ampliação e modernização complexo hospitalar,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Implantação,... - 2020,7,8000000.0,1460000.0,3,M,Serviços,19,0,4
5,2020-08-18,2020,3,2020-08-18,Soluções Ambientais de Araçatuba - Samar,Soluções Ambientais de Araçatuba - Samar,34.0,6.23,Sim,Araçatuba,RA Araçatuba,"Construção Estação e Tratamento de Água, a ETA 4, que será construída às margens do Ribeirão Baguaça","3600-6 - Captação, tratamento e distribuição de água","3600-6 - Captação, tratamento e distribuição de água",Ampliação,2020 - 2022,5,34000000.0,6230000.0,5,G,Infraestrutura,19,1,5
6,2020-09-21,2020,3,2020-09-21,Usina Diana,Destilataria de Álcool Nova Avanhandava - Diana,42.17,7.81,Sim,Avanhandava,RA Araçatuba,"Compra tratores e transbordos para colheita de cana, reforma da caldeira e reformou 70% do canavial próprio",0113-0 - Cultivo de cana-de-açúcar,1931-4 - Fabricação de álcool,Ampliação,2019 - 2020,9,42170000.0,7810000.0,5,G,Outros,19,1,6
7,2020-12-08,2020,3,2020-12-08,Burger King,BK Brasil Operação e Assessoria a Restaurantes,2.5,0.46,Sim,Birigui,RA Araçatuba,Inauguração restaurante fast food de hambúrgueres  na Avenida João Cernach esquina com a Rua Dr. Artur Cordeiro,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Implantação,... - 2020,7,2500000.0,460000.0,3,M,Serviços,19,0,4
8,2020-07-07,2020,3,2020-07-07,JBS,JBS,91.0,17.24,Sim,Guaiçara,RA Bauru,Instalação fábrica de fertilizantes,2013-4 - Fabricação de adubos e fertilizantes,4729-6 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo,Implantação,... - 2021,3,91000000.0,17240000.0,5,G,Indústria,11,3,7
9,2020-09-17,2020,3,2020-09-17,Eternit,Eternit,5.8,1.07,Sim,Atibaia,RA Campinas,Instalação Linha de produção e desemvolvimento de telha de concreto fotovoltaica,"2710-4 - Fabricação de geradores, transformadores e motores elétricos","2330-3 - Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Implantação,2019 - 2019,3,5800000.0,1070000.0,3,M,Indústria,5,2,1
